,0
0,佳木斯市
1,广安市
2,济宁市
3,山南市
4,日喀则市
5,潍坊市
6,运城市
7,那曲地区
8,枣庄市
9,阿克苏地区
10,朝阳市
11,南通市
12,黔东南苗族侗族自治州
13,无锡市
14,松原市
15,资阳市
16,岳阳市
17,鞍山市
18,广州市
19,吐鲁番市
20,拉萨市
21,武汉市
22,晋城市
23,通辽市
24,恩施土家族苗族自治州
25,四平市
26,晋中市
27,淮北市
28,丽水市
29,忻州市
30,海北藏族自治州
31,铁岭市
32,百色市
33,江门市
34,铜陵市
35,龙岩市
36,新疆维吾尔自治区
37,六盘水市
38,宿迁市
39,常德市
40,营口市
41,德州市
42,乌海市
43,西宁市
44,随州市
45,蚌埠市
46,商丘市
47,梅州市
48,通化市
49,武威市
50,娄底市
51,昭通市
52,泸州市
53,鹤岗市
54,濮阳市
55,张家界市
56,汕尾市
57,玉树藏族自治州
58,抚州市
59,固原市
60,黄石市
61,宁德市
62,珠海市
63,太原市
64,六安市
65,吕梁市
66,抚顺市
67,大兴安岭地区
68,海东市
69,鹰潭市
70,鸡西市
71,广元市
72,西安市
73,永州市
74,宜宾市
75,牡丹江市
76,迪庆藏族自治州
77,金华市
78,阳泉市
79,遵义市
80,莆田市
81,阳江市
82,林芝市
83,贺州市
84,邢台市
85,云浮市
86,荆州市
87,达州市
88,阿里地区
89,青岛市
90,唐山市
91,桂林市
92,平凉市
93,陇南市
94,巴中市
95,甘南藏族自治州
96,许昌市
97,郴州市
98,廊坊市
99,克孜勒苏柯尔克孜自治州
100,汕头市
101,丹东市
102,池州市
103,伊春市
104,普洱市
105,孝感市
106,长治市
107,巴音郭楞蒙古自治州
108,南京市
109,厦门市
110,张掖市
111,肇庆市
112,曲靖市
113,贵阳市
114,新余市
115,泰安市
116,安庆市
117,昌都市
118,长沙市
119,南阳市
120,中卫市
121,盐城市
122,湘西土家族苗族自治州
123,温州市
124,白银市
125,揭阳市
126,钦州市
127,白城市
128,黔南布依族苗族自治州
129,衢州市
130,吴忠市
131,茂名市
132,保山市
133,绥化市
134,吉安市
135,克拉玛依市
136,海南藏族自治州
137,临夏回族自治州
138,南昌市
139,香港特别行政区
140,巴彦淖尔市
141,锡林郭勒盟
142,沧州市
143,柳州市
144,内江市
145,湖北省
146,塔城地区
147,开封市
148,呼和浩特市
149,黄冈市
150,三明市
151,东莞市
152,淮南市
153,本溪市
154,德宏傣族景颇族自治州
155,梧州市
156,萍乡市
157,甘孜藏族自治州
158,盘锦市
159,潮州市
160,长春市
161,清远市
162,惠州市
163,安阳市
164,葫芦岛市
165,邵阳市
166,杭州市
167,洛阳市
168,海西蒙古族藏族自治州
169,荆门市
170,和田地区
171,宿州市
172,那曲市
173,儋州市
174,安康市
175,铜仁市
176,保定市
177,中山市
178,新乡市
179,商洛市
180,济南市
181,嘉兴市
182,上海市
183,鄂尔多斯市
184,绵阳市
185,益阳市
186,阜新市
187,河南省
188,宁波市
189,景德镇市
190,大同市
191,包头市
192,三亚市
193,衡水市
194,鄂州市
195,莱芜市
196,贵港市
197,宜春市
198,怀化市
199,阿坝藏族羌族自治州
200,榆林市
201,南平市
202,菏泽市
203,安顺市
204,成都市
205,延安市
206,果洛藏族自治州
207,辽源市
208,常州市
209,襄阳市
210,昌吉回族自治州
211,双鸭山市
212,西双版纳傣族自治州
213,湖州市
214,昆明市
215,秦皇岛市
216,黑河市
217,滁州市
218,北京市
219,上饶市
220,张家口市
221,吉林市
222,楚雄彝族自治州
223,凉山彝族自治州
224,赤峰市
225,喀什地区
226,大理白族自治州
227,临汾市
228,滨州市
229,东营市
230,汉中市
231,淮安市
232,澳门特别行政区
233,天津市
234,承德市
235,白山市
236,伊犁哈萨克自治州
237,九江市
238,崇左市
239,福州市
240,眉山市
241,黄山市
242,河源市
243,海口市
244,黄南藏族自治州
245,郑州市
246,连云港市
247,酒泉市
248,淄博市
249,临沂市
250,韶关市
251,来宾市
252,聊城市
253,十堰市
254,信阳市
255,临沧市
256,南宁市
257,驻马店市
258,亳州市
259,宣城市
260,黔西南布依族苗族自治州
261,齐齐哈尔市
262,哈密市
263,哈尔滨市
264,定西市
265,兴安盟
266,嘉峪关市
267,台州市
268,赣州市
269,大庆市
270,湘潭市
271,沈阳市
272,焦作市
273,玉溪市
274,芜湖市
275,泰州市
276,乌鲁木齐市
277,自贡市
278,石嘴山市
279,咸阳市
280,朔州市
281,玉林市
282,河池市
283,攀枝花市
284,合肥市
285,苏州市
286,株洲市
287,湛江市
288,南充市
289,马鞍山市
290,徐州市
291,银川市
292,漳州市
293,庆阳市
294,毕节市
295,镇江市
296,衡阳市
297,铜川市
298,防城港市
299,怒江傈僳族自治州
300,三门峡市
301,威海市
302,德阳市
303,咸宁市
304,呼伦贝尔市
305,舟山市
306,阜阳市
307,绍兴市
308,周口市
309,渭南市
310,金昌市
311,辽阳市
312,乌兰察布市
313,锦州市
314,邯郸市
315,雅安市
316,扬州市
317,延边朝鲜族自治州
318,文山壮族苗族自治州
319,大连市
320,漯河市
321,烟台市
322,台湾省
323,重庆市
324,宝鸡市
325,遂宁市
326,深圳市
327,宜昌市
328,北海市
329,佛山市
330,丽江市
331,平顶山市
332,红河哈尼族彝族自治州
333,阿拉善盟
334,天水市
335,泉州市
336,海南省
337,七台河市
338,石家庄市
339,日照市
340,鹤壁市
341,阿勒泰地区
342,乐山市
343,兰州市
344,博尔塔拉蒙古自治州
